id,count,description,link,name,slug,taxonomy,parent,meta,acf,yoast_head,yoast_head_json,_links
1334,0,,https://you.ubc.ca/cycle-stages/accepted/,Accepted,accepted,cycle-stages,0,[],[],"<!-- This site is optimized with the Yoast SEO plugin v28.0 - https://yoast.com/product/yoast-seo-wordpress/ -->
<title>Accepted Archives - UBC | Undergraduate Programs and Admissions</title>
<meta name=""robots"" content=""index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1"" />
<link rel=""canonical"" href=""https://you.ubc.ca/cycle-stages/accepted/"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:title"" content=""Accepted Archives - UBC | Undergraduate Programs and Admissions"" />
<meta property=""og:url"" content=""https://you.ubc.ca/cycle-stages/accepted/"" />
<meta property=""og:site_name"" content=""UBC | Undergraduate Programs and Admissions"" />
<meta name=""twitter:card"" content=""summary_large_image"" />
<meta name=""twitter:site"" content=""@youbc"" />
<script type=""application/ld+json"" class=""yoast-schema-graph"">{""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""CollectionPage"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/accepted\/"",""url"":""https:\/\/you.ubc.ca\/cycle-stages\/accepted\/"",""name"":""Accepted Archives - UBC | Undergraduate Programs and Admissions"",""isPartOf"":{""@id"":""https:\/\/you.ubc.ca\/#website""},""breadcrumb"":{""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/accepted\/#breadcrumb""},""inLanguage"":""en-US""},{""@type"":""BreadcrumbList"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/accepted\/#breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""name"":""Home"",""item"":""https:\/\/you.ubc.ca\/""},{""@type"":""ListItem"",""position"":2,""name"":""Accepted""}]},{""@type"":""WebSite"",""@id"":""https:\/\/you.ubc.ca\/#website"",""url"":""https:\/\/you.ubc.ca\/"",""name"":""UBC | Undergraduate Programs and Admissions"",""description"":""UBC | Undergraduate Programs and Admissions"",""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint"",""urlTemplate"":""https:\/\/you.ubc.ca\/?s={search_term_string}""},""query-input"":{""@type"":""PropertyValueSpecification"",""valueRequired"":true,""valueName"":""search_term_string""}}],""inLanguage"":""en-US""}]}</script>
<!-- / Yoast SEO plugin. -->","{""title"": ""Accepted Archives - UBC | Undergraduate Programs and Admissions"", ""robots"": {""index"": ""index"", ""follow"": ""follow"", ""max-snippet"": ""max-snippet:-1"", ""max-image-preview"": ""max-image-preview:large"", ""max-video-preview"": ""max-video-preview:-1""}, ""canonical"": ""https://you.ubc.ca/cycle-stages/accepted/"", ""og_locale"": ""en_US"", ""og_type"": ""article"", ""og_title"": ""Accepted Archives - UBC | Undergraduate Programs and Admissions"", ""og_url"": ""https://you.ubc.ca/cycle-stages/accepted/"", ""og_site_name"": ""UBC | Undergraduate Programs and Admissions"", ""twitter_card"": ""summary_large_image"", ""twitter_site"": ""@youbc"", ""schema"": {""@context"": ""https://schema.org"", ""@graph"": [{""@type"": ""CollectionPage"", ""@id"": ""https://you.ubc.ca/cycle-stages/accepted/"", ""url"": ""https://you.ubc.ca/cycle-stages/accepted/"", ""name"": ""Accepted Archives - UBC | Undergraduate Programs and Admissions"", ""isPartOf"": {""@id"": ""https://you.ubc.ca/#website""}, ""breadcrumb"": {""@id"": ""https://you.ubc.ca/cycle-stages/accepted/#breadcrumb""}, ""inLanguage"": ""en-US""}, {""@type"": ""BreadcrumbList"", ""@id"": ""https://you.ubc.ca/cycle-stages/accepted/#breadcrumb"", ""itemListElement"": [{""@type"": ""ListItem"", ""position"": 1, ""name"": ""Home"", ""item"": ""https://you.ubc.ca/""}, {""@type"": ""ListItem"", ""position"": 2, ""name"": ""Accepted""}]}, {""@type"": ""WebSite"", ""@id"": ""https://you.ubc.ca/#website"", ""url"": ""https://you.ubc.ca/"", ""name"": ""UBC | Undergraduate Programs and Admissions"", ""description"": ""UBC | Undergraduate Programs and Admissions"", ""potentialAction"": [{""@type"": ""SearchAction"", ""target"": {""@type"": ""EntryPoint"", ""urlTemplate"": ""https://you.ubc.ca/?s={search_term_string}""}, ""query-input"": {""@type"": ""PropertyValueSpecification"", ""valueRequired"": true, ""valueName"": ""search_term_string""}}], ""inLanguage"": ""en-US""}]}}","{""self"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages/1334"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages""}], ""about"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/taxonomies/cycle-stages""}], ""wp:post_type"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/calendar-content?cycle-stages=1334""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
1335,0,,https://you.ubc.ca/cycle-stages/admitted/,Admitted,admitted,cycle-stages,0,[],[],"<!-- This site is optimized with the Yoast SEO plugin v28.0 - https://yoast.com/product/yoast-seo-wordpress/ -->
<title>Admitted Archives - UBC | Undergraduate Programs and Admissions</title>
<meta name=""robots"" content=""index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1"" />
<link rel=""canonical"" href=""https://you.ubc.ca/cycle-stages/admitted/"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:title"" content=""Admitted Archives - UBC | Undergraduate Programs and Admissions"" />
<meta property=""og:url"" content=""https://you.ubc.ca/cycle-stages/admitted/"" />
<meta property=""og:site_name"" content=""UBC | Undergraduate Programs and Admissions"" />
<meta name=""twitter:card"" content=""summary_large_image"" />
<meta name=""twitter:site"" content=""@youbc"" />
<script type=""application/ld+json"" class=""yoast-schema-graph"">{""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""CollectionPage"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/admitted\/"",""url"":""https:\/\/you.ubc.ca\/cycle-stages\/admitted\/"",""name"":""Admitted Archives - UBC | Undergraduate Programs and Admissions"",""isPartOf"":{""@id"":""https:\/\/you.ubc.ca\/#website""},""breadcrumb"":{""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/admitted\/#breadcrumb""},""inLanguage"":""en-US""},{""@type"":""BreadcrumbList"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/admitted\/#breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""name"":""Home"",""item"":""https:\/\/you.ubc.ca\/""},{""@type"":""ListItem"",""position"":2,""name"":""Admitted""}]},{""@type"":""WebSite"",""@id"":""https:\/\/you.ubc.ca\/#website"",""url"":""https:\/\/you.ubc.ca\/"",""name"":""UBC | Undergraduate Programs and Admissions"",""description"":""UBC | Undergraduate Programs and Admissions"",""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint"",""urlTemplate"":""https:\/\/you.ubc.ca\/?s={search_term_string}""},""query-input"":{""@type"":""PropertyValueSpecification"",""valueRequired"":true,""valueName"":""search_term_string""}}],""inLanguage"":""en-US""}]}</script>
<!-- / Yoast SEO plugin. -->","{""title"": ""Admitted Archives - UBC | Undergraduate Programs and Admissions"", ""robots"": {""index"": ""index"", ""follow"": ""follow"", ""max-snippet"": ""max-snippet:-1"", ""max-image-preview"": ""max-image-preview:large"", ""max-video-preview"": ""max-video-preview:-1""}, ""canonical"": ""https://you.ubc.ca/cycle-stages/admitted/"", ""og_locale"": ""en_US"", ""og_type"": ""article"", ""og_title"": ""Admitted Archives - UBC | Undergraduate Programs and Admissions"", ""og_url"": ""https://you.ubc.ca/cycle-stages/admitted/"", ""og_site_name"": ""UBC | Undergraduate Programs and Admissions"", ""twitter_card"": ""summary_large_image"", ""twitter_site"": ""@youbc"", ""schema"": {""@context"": ""https://schema.org"", ""@graph"": [{""@type"": ""CollectionPage"", ""@id"": ""https://you.ubc.ca/cycle-stages/admitted/"", ""url"": ""https://you.ubc.ca/cycle-stages/admitted/"", ""name"": ""Admitted Archives - UBC | Undergraduate Programs and Admissions"", ""isPartOf"": {""@id"": ""https://you.ubc.ca/#website""}, ""breadcrumb"": {""@id"": ""https://you.ubc.ca/cycle-stages/admitted/#breadcrumb""}, ""inLanguage"": ""en-US""}, {""@type"": ""BreadcrumbList"", ""@id"": ""https://you.ubc.ca/cycle-stages/admitted/#breadcrumb"", ""itemListElement"": [{""@type"": ""ListItem"", ""position"": 1, ""name"": ""Home"", ""item"": ""https://you.ubc.ca/""}, {""@type"": ""ListItem"", ""position"": 2, ""name"": ""Admitted""}]}, {""@type"": ""WebSite"", ""@id"": ""https://you.ubc.ca/#website"", ""url"": ""https://you.ubc.ca/"", ""name"": ""UBC | Undergraduate Programs and Admissions"", ""description"": ""UBC | Undergraduate Programs and Admissions"", ""potentialAction"": [{""@type"": ""SearchAction"", ""target"": {""@type"": ""EntryPoint"", ""urlTemplate"": ""https://you.ubc.ca/?s={search_term_string}""}, ""query-input"": {""@type"": ""PropertyValueSpecification"", ""valueRequired"": true, ""valueName"": ""search_term_string""}}], ""inLanguage"": ""en-US""}]}}","{""self"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages/1335"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages""}], ""about"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/taxonomies/cycle-stages""}], ""wp:post_type"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/calendar-content?cycle-stages=1335""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
1336,0,,https://you.ubc.ca/cycle-stages/applied/,Applied,applied,cycle-stages,0,[],[],"<!-- This site is optimized with the Yoast SEO plugin v28.0 - https://yoast.com/product/yoast-seo-wordpress/ -->
<title>Applied Archives - UBC | Undergraduate Programs and Admissions</title>
<meta name=""robots"" content=""index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1"" />
<link rel=""canonical"" href=""https://you.ubc.ca/cycle-stages/applied/"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:title"" content=""Applied Archives - UBC | Undergraduate Programs and Admissions"" />
<meta property=""og:url"" content=""https://you.ubc.ca/cycle-stages/applied/"" />
<meta property=""og:site_name"" content=""UBC | Undergraduate Programs and Admissions"" />
<meta name=""twitter:card"" content=""summary_large_image"" />
<meta name=""twitter:site"" content=""@youbc"" />
<script type=""application/ld+json"" class=""yoast-schema-graph"">{""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""CollectionPage"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/applied\/"",""url"":""https:\/\/you.ubc.ca\/cycle-stages\/applied\/"",""name"":""Applied Archives - UBC | Undergraduate Programs and Admissions"",""isPartOf"":{""@id"":""https:\/\/you.ubc.ca\/#website""},""breadcrumb"":{""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/applied\/#breadcrumb""},""inLanguage"":""en-US""},{""@type"":""BreadcrumbList"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/applied\/#breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""name"":""Home"",""item"":""https:\/\/you.ubc.ca\/""},{""@type"":""ListItem"",""position"":2,""name"":""Applied""}]},{""@type"":""WebSite"",""@id"":""https:\/\/you.ubc.ca\/#website"",""url"":""https:\/\/you.ubc.ca\/"",""name"":""UBC | Undergraduate Programs and Admissions"",""description"":""UBC | Undergraduate Programs and Admissions"",""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint"",""urlTemplate"":""https:\/\/you.ubc.ca\/?s={search_term_string}""},""query-input"":{""@type"":""PropertyValueSpecification"",""valueRequired"":true,""valueName"":""search_term_string""}}],""inLanguage"":""en-US""}]}</script>
<!-- / Yoast SEO plugin. -->","{""title"": ""Applied Archives - UBC | Undergraduate Programs and Admissions"", ""robots"": {""index"": ""index"", ""follow"": ""follow"", ""max-snippet"": ""max-snippet:-1"", ""max-image-preview"": ""max-image-preview:large"", ""max-video-preview"": ""max-video-preview:-1""}, ""canonical"": ""https://you.ubc.ca/cycle-stages/applied/"", ""og_locale"": ""en_US"", ""og_type"": ""article"", ""og_title"": ""Applied Archives - UBC | Undergraduate Programs and Admissions"", ""og_url"": ""https://you.ubc.ca/cycle-stages/applied/"", ""og_site_name"": ""UBC | Undergraduate Programs and Admissions"", ""twitter_card"": ""summary_large_image"", ""twitter_site"": ""@youbc"", ""schema"": {""@context"": ""https://schema.org"", ""@graph"": [{""@type"": ""CollectionPage"", ""@id"": ""https://you.ubc.ca/cycle-stages/applied/"", ""url"": ""https://you.ubc.ca/cycle-stages/applied/"", ""name"": ""Applied Archives - UBC | Undergraduate Programs and Admissions"", ""isPartOf"": {""@id"": ""https://you.ubc.ca/#website""}, ""breadcrumb"": {""@id"": ""https://you.ubc.ca/cycle-stages/applied/#breadcrumb""}, ""inLanguage"": ""en-US""}, {""@type"": ""BreadcrumbList"", ""@id"": ""https://you.ubc.ca/cycle-stages/applied/#breadcrumb"", ""itemListElement"": [{""@type"": ""ListItem"", ""position"": 1, ""name"": ""Home"", ""item"": ""https://you.ubc.ca/""}, {""@type"": ""ListItem"", ""position"": 2, ""name"": ""Applied""}]}, {""@type"": ""WebSite"", ""@id"": ""https://you.ubc.ca/#website"", ""url"": ""https://you.ubc.ca/"", ""name"": ""UBC | Undergraduate Programs and Admissions"", ""description"": ""UBC | Undergraduate Programs and Admissions"", ""potentialAction"": [{""@type"": ""SearchAction"", ""target"": {""@type"": ""EntryPoint"", ""urlTemplate"": ""https://you.ubc.ca/?s={search_term_string}""}, ""query-input"": {""@type"": ""PropertyValueSpecification"", ""valueRequired"": true, ""valueName"": ""search_term_string""}}], ""inLanguage"": ""en-US""}]}}","{""self"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages/1336"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages""}], ""about"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/taxonomies/cycle-stages""}], ""wp:post_type"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/calendar-content?cycle-stages=1336""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
1337,0,,https://you.ubc.ca/cycle-stages/prospect/,Prospect,prospect,cycle-stages,0,[],[],"<!-- This site is optimized with the Yoast SEO plugin v28.0 - https://yoast.com/product/yoast-seo-wordpress/ -->
<title>Prospect Archives - UBC | Undergraduate Programs and Admissions</title>
<meta name=""robots"" content=""index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1"" />
<link rel=""canonical"" href=""https://you.ubc.ca/cycle-stages/prospect/"" />
<meta property=""og:locale"" content=""en_US"" />
<meta property=""og:type"" content=""article"" />
<meta property=""og:title"" content=""Prospect Archives - UBC | Undergraduate Programs and Admissions"" />
<meta property=""og:url"" content=""https://you.ubc.ca/cycle-stages/prospect/"" />
<meta property=""og:site_name"" content=""UBC | Undergraduate Programs and Admissions"" />
<meta name=""twitter:card"" content=""summary_large_image"" />
<meta name=""twitter:site"" content=""@youbc"" />
<script type=""application/ld+json"" class=""yoast-schema-graph"">{""@context"":""https:\/\/schema.org"",""@graph"":[{""@type"":""CollectionPage"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/prospect\/"",""url"":""https:\/\/you.ubc.ca\/cycle-stages\/prospect\/"",""name"":""Prospect Archives - UBC | Undergraduate Programs and Admissions"",""isPartOf"":{""@id"":""https:\/\/you.ubc.ca\/#website""},""breadcrumb"":{""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/prospect\/#breadcrumb""},""inLanguage"":""en-US""},{""@type"":""BreadcrumbList"",""@id"":""https:\/\/you.ubc.ca\/cycle-stages\/prospect\/#breadcrumb"",""itemListElement"":[{""@type"":""ListItem"",""position"":1,""name"":""Home"",""item"":""https:\/\/you.ubc.ca\/""},{""@type"":""ListItem"",""position"":2,""name"":""Prospect""}]},{""@type"":""WebSite"",""@id"":""https:\/\/you.ubc.ca\/#website"",""url"":""https:\/\/you.ubc.ca\/"",""name"":""UBC | Undergraduate Programs and Admissions"",""description"":""UBC | Undergraduate Programs and Admissions"",""potentialAction"":[{""@type"":""SearchAction"",""target"":{""@type"":""EntryPoint"",""urlTemplate"":""https:\/\/you.ubc.ca\/?s={search_term_string}""},""query-input"":{""@type"":""PropertyValueSpecification"",""valueRequired"":true,""valueName"":""search_term_string""}}],""inLanguage"":""en-US""}]}</script>
<!-- / Yoast SEO plugin. -->","{""title"": ""Prospect Archives - UBC | Undergraduate Programs and Admissions"", ""robots"": {""index"": ""index"", ""follow"": ""follow"", ""max-snippet"": ""max-snippet:-1"", ""max-image-preview"": ""max-image-preview:large"", ""max-video-preview"": ""max-video-preview:-1""}, ""canonical"": ""https://you.ubc.ca/cycle-stages/prospect/"", ""og_locale"": ""en_US"", ""og_type"": ""article"", ""og_title"": ""Prospect Archives - UBC | Undergraduate Programs and Admissions"", ""og_url"": ""https://you.ubc.ca/cycle-stages/prospect/"", ""og_site_name"": ""UBC | Undergraduate Programs and Admissions"", ""twitter_card"": ""summary_large_image"", ""twitter_site"": ""@youbc"", ""schema"": {""@context"": ""https://schema.org"", ""@graph"": [{""@type"": ""CollectionPage"", ""@id"": ""https://you.ubc.ca/cycle-stages/prospect/"", ""url"": ""https://you.ubc.ca/cycle-stages/prospect/"", ""name"": ""Prospect Archives - UBC | Undergraduate Programs and Admissions"", ""isPartOf"": {""@id"": ""https://you.ubc.ca/#website""}, ""breadcrumb"": {""@id"": ""https://you.ubc.ca/cycle-stages/prospect/#breadcrumb""}, ""inLanguage"": ""en-US""}, {""@type"": ""BreadcrumbList"", ""@id"": ""https://you.ubc.ca/cycle-stages/prospect/#breadcrumb"", ""itemListElement"": [{""@type"": ""ListItem"", ""position"": 1, ""name"": ""Home"", ""item"": ""https://you.ubc.ca/""}, {""@type"": ""ListItem"", ""position"": 2, ""name"": ""Prospect""}]}, {""@type"": ""WebSite"", ""@id"": ""https://you.ubc.ca/#website"", ""url"": ""https://you.ubc.ca/"", ""name"": ""UBC | Undergraduate Programs and Admissions"", ""description"": ""UBC | Undergraduate Programs and Admissions"", ""potentialAction"": [{""@type"": ""SearchAction"", ""target"": {""@type"": ""EntryPoint"", ""urlTemplate"": ""https://you.ubc.ca/?s={search_term_string}""}, ""query-input"": {""@type"": ""PropertyValueSpecification"", ""valueRequired"": true, ""valueName"": ""search_term_string""}}], ""inLanguage"": ""en-US""}]}}","{""self"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages/1337"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/cycle-stages""}], ""about"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/taxonomies/cycle-stages""}], ""wp:post_type"": [{""href"": ""https://you.ubc.ca/wp-json/wp/v2/calendar-content?cycle-stages=1337""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
