id,post_title,link,summary,is_new,campuses,degrees,topics,interests
819,Law,https://you.ubc.ca/programs/law/,"At the Peter A. Allard School of Law, you&#8217;ll receive a first-rate legal education that balances traditional areas of practice with emerging fields of specialization. Your first year will cover common curriculum – with classes in…",False,[1710814996],[206431322],[3571831894],"[501643338, 1481580292, 1640973582, 460031769, 3068714876, 444110842]"
823,Linguistics,https://you.ubc.ca/programs/linguistics/,"Linguistics is a highly interdisciplinary field that combines research methods from the humanities and the social, natural, and mathematical sciences to study human language. Linguists are interested in questions such as: What are the structural…",False,[1710814996],[3151486684],[3063730439],"[4106025904, 3941838386, 501643338, 1481580292, 342941353]"
560625,Manufacturing Engineering,https://you.ubc.ca/programs/manufacturing-engineering-vancouver/,"Learn how to design, operate, and optimize advanced manufacturing environments in UBC&#8217;s Manufacturing Engineering program.",False,[1710814996],[2061173936],"[2016182884, 1785411973]","[3212285637, 1418100143]"
831,Materials Engineering,https://you.ubc.ca/programs/materials-engineering/,"From the smallest nano-particles to massive mining challenges – materials engineering expertise is sought after in multiple industries worldwide. You&#8217;ll start with the core material groups: metals, ceramics, polymers. and composites. By fourth year, you’ll be…",False,[1710814996],[2061173936],[1785411973],"[3212285637, 3941838386, 1192414939]"
835,Mathematical Sciences,https://you.ubc.ca/programs/mathematical-sciences-vancouver/,"Study subjects such as differential calculus, mathematical proof, matrix algebra, and much more as you establish a solid foundation in the mathematical sciences. You can emphasize mathematics, statistics, computer science, or any combination of the…",False,[1710814996],[2228041040],[3669867392],"[4106025904, 3941838386, 460031769, 582946604]"
845,Mathematics (BA),https://you.ubc.ca/programs/mathematics-vancouver-ba/,"Mathematics majors apply math, probability, statistics, and the principles of business and finance to analyze statistical data and assess business risks. Mathematics at UBC provides an excellent balance of pure and applied mathematics and is…",False,[1710814996],[3151486684],[3669867392],"[4106025904, 3941838386, 460031769, 582946604]"
847,Mathematics (BSc),https://you.ubc.ca/programs/mathematics-vancouver-bsc/,"Mathematics is more than just numbers and rules for calculating with them – it&#8217;s a powerful tool for solving practical problems and a highly creative field of study, combining logic and precision with intuition and imagination.",False,[1710814996],[2228041040],[3669867392],"[2605208591, 3941838386, 460031769, 582946604]"
837,Mathematics and Economics,https://you.ubc.ca/programs/mathematics-economics/,"This combined major will give you a solid foundation in mathematics and an understanding of key economics principles. You&#8217;ll examine subjects such as microeconomics, empirical economics, differential calculus, mathematical proof, and more.",False,[1710814996],[2228041040],"[2016182884, 3669867392]","[2605208591, 3941838386, 1640973582, 460031769, 582946604]"
853,Mechanical Engineering,https://you.ubc.ca/programs/mechanical-engineering-vancouver/,"Mechanical Engineering is a diverse field that applies physics and mathematics to analyze, design, and maintain mechanical systems. Mechanical Engineers continuously innovate, then refine and simplify solutions to the problems we face in our everyday…",False,[1710814996],[2061173936],[1785411973],"[3212285637, 4214343119, 1418100143]"
149747,Media Studies,https://you.ubc.ca/programs/media-studies/,"Gain experience in the creation and critical dissection of media across forms, and its multifaceted influence on society, while becoming a member of a collaborative community of students, scholars, and creative professionals. This cohort-based interdisciplinary…",False,[1710814996],[877900534],[653776851],"[296644452, 3461931775, 1486153115, 1418100143, 4213596847]"
