id,date,date_gmt,guid,modified,modified_gmt,slug,status,type,link,title,content,excerpt,featured_media,template,meta,categories,tags,class_list,acf,_links
24444,2026-05-10T09:25:38,2026-05-10T16:25:38,"{""rendered"": ""https://food.ubc.ca/?post_type=event&#038;p=24444""}",2026-06-22T17:07:38,2026-06-23T00:07:38,ubc-blueberry-fest-july-22-24,publish,event,https://food.ubc.ca/event/ubc-blueberry-fest-july-22-24/,"{""rendered"": ""Blueberry Fest [July 22 &#8211; 24]""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",21568,,"{""_acf_changed"": false}","[268, 42]","[96, 138, 65, 57, 80, 133, 132, 61, 62, 64, 71, 98]","[""post-24444"", ""event"", ""type-event"", ""status-publish"", ""has-post-thumbnail"", ""hentry"", ""category-chef-demo"", ""category-events"", ""tag-bc-blueberries"", ""tag-bc-blueberry-day"", ""tag-blueberries"", ""tag-chef-demo"", ""tag-events"", ""tag-free-event"", ""tag-learn-to-cook"", ""tag-local-food"", ""tag-local-ingredients"", ""tag-recipes"", ""tag-ubcblueberryfest"", ""tag-ubcfarm""]",[],"{""self"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24444"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/event""}], ""about"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/types/event""}], ""version-history"": [{""count"": 9, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24444/revisions""}], ""predecessor-version"": [{""id"": 24793, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24444/revisions/24793""}], ""wp:attachment"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/media?parent=24444""}], ""wp:term"": [{""taxonomy"": ""category"", ""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/categories?post=24444""}, {""taxonomy"": ""post_tag"", ""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/tags?post=24444""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
24481,2026-05-09T15:34:10,2026-05-09T22:34:10,"{""rendered"": ""https://food.ubc.ca/?post_type=event&#038;p=24481""}",2026-05-19T11:19:19,2026-05-19T18:19:19,long-table-dinner-aug-13,publish,event,https://food.ubc.ca/event/long-table-dinner-aug-13/,"{""rendered"": ""Long Table Dinner [Aug 13]""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",24484,,"{""_acf_changed"": false}",[42],[],"[""post-24481"", ""event"", ""type-event"", ""status-publish"", ""has-post-thumbnail"", ""hentry"", ""category-events""]",[],"{""self"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24481"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/event""}], ""about"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/types/event""}], ""version-history"": [{""count"": 3, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24481/revisions""}], ""predecessor-version"": [{""id"": 24486, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24481/revisions/24486""}], ""wp:featuredmedia"": [{""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/media/24484""}], ""wp:attachment"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/media?parent=24481""}], ""wp:term"": [{""taxonomy"": ""category"", ""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/categories?post=24481""}, {""taxonomy"": ""post_tag"", ""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/tags?post=24481""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
24447,2026-05-09T09:27:31,2026-05-09T16:27:31,"{""rendered"": ""https://food.ubc.ca/?post_type=event&#038;p=24447""}",2026-05-12T09:35:19,2026-05-12T16:35:19,meet-your-makers-sept-23,publish,event,https://food.ubc.ca/event/meet-your-makers-sept-23/,"{""rendered"": ""Meet Your Makers [Sept 23]""}","{""rendered"": """", ""protected"": false}","{""rendered"": """", ""protected"": false}",24449,,"{""_acf_changed"": false}","[268, 42]",[],"[""post-24447"", ""event"", ""type-event"", ""status-publish"", ""has-post-thumbnail"", ""hentry"", ""category-chef-demo"", ""category-events""]",[],"{""self"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24447"", ""targetHints"": {""allow"": [""GET""]}}], ""collection"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/event""}], ""about"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/types/event""}], ""version-history"": [{""count"": 3, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24447/revisions""}], ""predecessor-version"": [{""id"": 24451, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/event/24447/revisions/24451""}], ""wp:featuredmedia"": [{""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/media/24449""}], ""wp:attachment"": [{""href"": ""https://food.ubc.ca/wp-json/wp/v2/media?parent=24447""}], ""wp:term"": [{""taxonomy"": ""category"", ""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/categories?post=24447""}, {""taxonomy"": ""post_tag"", ""embeddable"": true, ""href"": ""https://food.ubc.ca/wp-json/wp/v2/tags?post=24447""}], ""curies"": [{""name"": ""wp"", ""href"": ""https://api.w.org/{rel}"", ""templated"": true}]}"
