id,author,status,date,date_utc,modified,modified_utc,url,venue,slug,address,city,country,province,zip,website,stateprovince,show_map,show_map_link,global_id,global_id_lineage,phone
36154,4,publish,2021-12-08 13:17:56,2021-12-08 21:17:56,2021-12-08 13:17:56,2021-12-08 21:17:56,https://events.ubc.ca/venue/forest-sciences-centre/,Forest Sciences Centre,forest-sciences-centre,2424 Main Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36154,"[""events.ubc.ca?id=36154""]",
36153,4,publish,2021-12-08 13:17:29,2021-12-08 21:17:29,2021-12-08 13:17:29,2021-12-08 21:17:29,https://events.ubc.ca/venue/food-nutrition-and-health-building/,"Food, Nutrition and Health Building",food-nutrition-and-health-building,2205 East Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36153,"[""events.ubc.ca?id=36153""]",
36152,4,publish,2021-12-08 13:17:06,2021-12-08 21:17:06,2021-12-08 13:17:06,2021-12-08 21:17:06,https://events.ubc.ca/venue/flag-pole-plaza/,Flag Pole Plaza,flag-pole-plaza,6300 Crescent Road,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36152,"[""events.ubc.ca?id=36152""]",
36151,4,publish,2021-12-08 13:13:49,2021-12-08 21:13:49,2021-12-08 13:13:49,2021-12-08 21:13:49,https://events.ubc.ca/venue/first-nations-longhouse/,First Nations Longhouse,first-nations-longhouse,1985 West Mall,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36151,"[""events.ubc.ca?id=36151""]",
36150,4,publish,2021-12-08 13:13:08,2021-12-08 21:13:08,2021-12-08 13:13:08,2021-12-08 21:13:08,https://events.ubc.ca/venue/financial-operations-satellite-location-wesbrook-mall/,Financial Operations Satellite Location &#8211; Wesbrook Mall,financial-operations-satellite-location-wesbrook-mall,5958 Webber Lane,Vancouver,Canada,British Columbia,V6S0J9,,British Columbia,True,True,events.ubc.ca?id=36150,"[""events.ubc.ca?id=36150""]",
36149,4,publish,2021-12-08 13:11:13,2021-12-08 21:11:13,2021-12-08 13:11:13,2021-12-08 21:11:13,https://events.ubc.ca/venue/exchange-residence/,Exchange Residence,exchange-residence,5960 Student Union Boulevard,Vancouver,Canada,British Columbia,V6T1Z1,,British Columbia,True,True,events.ubc.ca?id=36149,"[""events.ubc.ca?id=36149""]",
36148,4,publish,2021-12-08 11:19:20,2021-12-08 19:19:20,2021-12-08 11:19:20,2021-12-08 19:19:20,https://events.ubc.ca/venue/earth-sciences-building-esb/,Earth Sciences Building (ESB),earth-sciences-building-esb,2207 Main Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36148,"[""events.ubc.ca?id=36148""]",
36147,4,publish,2021-12-08 11:19:05,2021-12-08 19:19:05,2021-12-08 11:19:05,2021-12-08 19:19:05,https://events.ubc.ca/venue/earth-and-ocean-sciences-eos/,Earth and Ocean Sciences (EOS),earth-and-ocean-sciences-eos,6339 Stores Road,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36147,"[""events.ubc.ca?id=36147""]",
36146,4,publish,2021-12-08 11:18:42,2021-12-08 19:18:42,2021-12-08 11:18:42,2021-12-08 19:18:42,https://events.ubc.ca/venue/doug-mitchell-thunderbird-sports-centre/,Doug Mitchell Thunderbird Sports Centre,doug-mitchell-thunderbird-sports-centre,6066 Thunderbird Boulevard,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36146,"[""events.ubc.ca?id=36146""]",
36145,4,publish,2021-12-08 11:18:23,2021-12-08 19:18:23,2021-12-08 11:18:23,2021-12-08 19:18:23,https://events.ubc.ca/venue/douglas-t-kenny-building/,Douglas T. Kenny Building,douglas-t-kenny-building,2136 West Mall,Vancouver,Canada,British Columbia,V6T1Z4,,British Columbia,True,True,events.ubc.ca?id=36145,"[""events.ubc.ca?id=36145""]",
36144,4,publish,2021-12-08 11:18:03,2021-12-08 19:18:03,2021-12-08 11:18:03,2021-12-08 19:18:03,https://events.ubc.ca/venue/dorothy-somerset-studios/,Dorothy Somerset Studios,dorothy-somerset-studios,6361 University Boulevard,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36144,"[""events.ubc.ca?id=36144""]",
36143,4,publish,2021-12-08 11:17:42,2021-12-08 19:17:42,2021-12-08 11:17:42,2021-12-08 19:17:42,https://events.ubc.ca/venue/donald-rix-building/,Donald Rix Building,donald-rix-building,2389 Health Sciences Mall,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36143,"[""events.ubc.ca?id=36143""]",
36142,4,publish,2021-12-08 09:57:22,2021-12-08 17:57:22,2021-12-08 09:57:22,2021-12-08 17:57:22,https://events.ubc.ca/venue/djavad-mowafaghian-centre-for-brain-health-cbh/,Djavad Mowafaghian Centre for Brain Health (CBH),djavad-mowafaghian-centre-for-brain-health-cbh,2215 Wesbrook Mall,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36142,"[""events.ubc.ca?id=36142""]",
36141,4,publish,2021-12-08 09:56:54,2021-12-08 17:56:54,2021-12-08 09:56:54,2021-12-08 17:56:54,https://events.ubc.ca/venue/ubc-hospital-purdy-pavilion/,UBC Hospital &#8211; Purdy Pavilion,ubc-hospital-purdy-pavilion,2221 Wesbrook Mall,Vancouver,Canada,British Columbia,V6T1Z9,,British Columbia,True,True,events.ubc.ca?id=36141,"[""events.ubc.ca?id=36141""]",
36140,4,publish,2021-12-08 09:56:34,2021-12-08 17:56:34,2021-12-08 09:56:34,2021-12-08 17:56:34,https://events.ubc.ca/venue/ubc-hospital-koerner-pavilion/,UBC Hospital &#8211; Koerner Pavilion,ubc-hospital-koerner-pavilion,2211 Wesbrook Mall,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36140,"[""events.ubc.ca?id=36140""]",
36139,4,publish,2021-12-08 09:56:19,2021-12-08 17:56:19,2021-12-08 09:56:19,2021-12-08 17:56:19,https://events.ubc.ca/venue/ubc-hospital-detwiller-pavilion/,UBC Hospital &#8211; Detwiller Pavilion,ubc-hospital-detwiller-pavilion,2255 Wesbrook Mall,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36139,"[""events.ubc.ca?id=36139""]",
36138,4,publish,2021-12-08 09:55:39,2021-12-08 17:55:39,2021-12-08 09:55:39,2021-12-08 17:55:39,https://events.ubc.ca/venue/david-strangway-building/,David Strangway Building,david-strangway-building,5950 University Boulevard,Vancouver,Canada,British Columbia,V6T1Z3,,British Columbia,True,True,events.ubc.ca?id=36138,"[""events.ubc.ca?id=36138""]",
36137,4,publish,2021-12-08 09:53:17,2021-12-08 17:53:17,2021-12-08 09:53:17,2021-12-08 17:53:17,https://events.ubc.ca/venue/david-lam-management-research-centre/,David Lam Management Research Centre,david-lam-management-research-centre,2033 Main Mall,Vancouver,Canada,British Columbia,V6T1Z2,,British Columbia,True,True,events.ubc.ca?id=36137,"[""events.ubc.ca?id=36137""]",
