id,type,tid,revision_id,revision_created,status,name,description,weight,changed,related,campus
52a26837-8d85-4c6f-b1d1-7b2a06d498fd,taxonomy_term--department,170,170,2023-03-17T18:19:38+00:00,True,Educational Studies,,0,2023-03-17T18:19:38+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
0bec1b05-3d5e-47e8-96c4-88fbad03f1d8,taxonomy_term--department,171,171,2023-03-17T18:19:51+00:00,True,Community and Regional Planning,,0,2023-03-17T18:19:51+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
f7a1fda9-5f55-4c5b-bfe9-8c272ec8e8fb,taxonomy_term--department,172,172,2023-03-17T18:20:04+00:00,True,School of Public Policy and Global Affairs,,0,2023-03-17T18:20:04+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
65ac76ff-4067-46d1-8cbb-febfd809c1e8,taxonomy_term--department,173,173,2023-03-17T18:20:13+00:00,True,Radiology,,0,2023-03-17T18:20:13+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
660f8441-61b8-435b-9487-6419cfaffdc5,taxonomy_term--department,174,174,2023-03-17T18:20:26+00:00,True,Obstetrics and Gynaecology,,0,2023-03-17T18:20:26+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
615e0492-c8bb-4735-8ed9-35084891c3a3,taxonomy_term--department,175,175,2023-03-17T18:20:33+00:00,True,"French, Hispanic and Italian Studies",,0,2023-03-17T18:20:33+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
e0d7e3f6-b305-4ba6-a3e8-8127dc32db93,taxonomy_term--department,176,176,2023-03-17T18:20:37+00:00,True,Music,,0,2023-03-17T18:20:37+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
572bd533-e067-48c1-88a7-9ea0a43fa59a,taxonomy_term--department,177,177,2023-03-17T18:20:41+00:00,True,Geography,,0,2023-03-17T18:20:41+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
0d647702-f722-49ac-a782-de418dc12109,taxonomy_term--department,178,178,2023-03-17T18:20:47+00:00,True,Chemistry,,0,2023-03-17T18:20:47+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
62c7078b-0831-4989-92f3-921bb872a4bd,taxonomy_term--department,179,179,2023-03-17T18:20:52+00:00,True,Linguistics,,0,2023-03-17T18:20:52+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
6a99a06f-c220-4d77-807e-9f43309d1820,taxonomy_term--department,180,180,2023-03-17T18:20:57+00:00,True,Information,,0,2023-03-17T18:20:57+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
f769c494-b78a-4727-9d1a-dbe49e2dc2e1,taxonomy_term--department,181,181,2023-03-17T18:21:01+00:00,True,Surgery,,0,2023-03-17T18:21:01+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
d2c577c0-70ba-4b5b-88f1-26c814d28464,taxonomy_term--department,182,182,2023-03-17T18:21:06+00:00,True,Sociology,,0,2023-03-17T18:21:06+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
4533ed6c-a735-4eb7-a77d-995158ff0aa9,taxonomy_term--department,183,183,2023-03-17T18:21:20+00:00,True,"Art History, Visual Art, and Theory",,0,2023-03-17T18:21:20+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
80a90472-99b6-486e-b0e3-a3dcbd11c9d0,taxonomy_term--department,184,184,2023-03-17T18:21:30+00:00,True,Theatre and Film,,0,2023-03-17T18:21:30+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
217ed772-1a93-47ce-9958-be9853afd826,taxonomy_term--department,185,185,2023-03-17T18:21:45+00:00,True,Curriculum and Pedagogy,,0,2023-03-17T18:21:45+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
b530900f-b177-4b20-bea0-8567649df763,taxonomy_term--department,186,186,2023-03-17T18:21:54+00:00,True,Applied Animal Biology,,0,2023-03-17T18:21:54+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
b4f9d0fd-4cec-4d19-bf88-a6e61c608691,taxonomy_term--department,187,187,2023-03-17T18:22:05+00:00,True,Occupational Science and Occupational Therapy,,0,2023-03-17T18:22:05+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
6d762b7d-551d-4e6f-ba42-b75a8bfe1202,taxonomy_term--department,188,188,2023-03-17T18:22:09+00:00,True,Social Work,,0,2023-03-17T18:22:09+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
5bd44cea-1189-4e0a-af56-2f6b421e77ad,taxonomy_term--department,189,189,2023-03-17T18:22:14+00:00,True,Cognitive Systems,,0,2023-03-17T18:22:14+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
766c2c4d-9b51-4625-ac22-2f5d495ce1d7,taxonomy_term--department,190,190,2023-03-17T18:22:20+00:00,True,Family Practice,,0,2023-03-17T18:22:20+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
3c4db8b7-d4f0-4fa9-898b-24de2d1a230a,taxonomy_term--department,191,191,2023-03-17T18:22:32+00:00,True,Chemical and Biological Engineering,,0,2023-03-17T18:22:32+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
0e4ecd36-a7b7-4a43-8240-9c9d3db9a6af,taxonomy_term--department,192,192,2023-03-17T18:22:42+00:00,True,Ancient Mediterranean and Near Eastern Studies,,0,2023-03-17T18:22:42+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
fed49fd5-b6bd-4b2c-9a4e-595635426f3a,taxonomy_term--department,193,193,2023-03-17T18:22:54+00:00,True,Botany,,0,2023-03-17T18:22:54+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
b17acec9-299b-4118-9d5b-91aaa5d24685,taxonomy_term--department,194,194,2023-03-17T18:23:01+00:00,True,Psychology,,0,2023-03-17T18:23:01+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
2b4e479a-f253-41c1-ab4c-30c86d9c1824,taxonomy_term--department,195,195,2023-03-17T18:23:17+00:00,True,Microbiology and Immunology,,0,2023-03-17T18:23:17+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
3202398b-4d24-4b18-823d-a2bf31ad7360,taxonomy_term--department,196,196,2023-03-17T18:23:25+00:00,True,Coordinated Science Program,,0,2023-03-17T18:23:25+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
bd981299-a6c8-4d6f-8102-1896bb3cf6e8,taxonomy_term--department,197,197,2023-03-17T18:23:34+00:00,True,Cell and Developmental Biology,,0,2023-03-17T18:23:34+00:00,"{""vid"": ""30df518f-dcb9-4616-9583-786b76e62643"", ""parent"": [""virtual""]}",vancouver
