site,file_type,url,filename,page_title,page_url,page_modified,linked_from_pages
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/06/UBC-WQM-Report-2024.pdf,UBC-WQM-Report-2024.pdf,Utilities Metrics and Data,https://facilities.ubc.ca/infrastructure-and-systems/utilities-metrics-and-data/,2026-03-05T16:40:15,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/UBC_EWS_DES_Construction-Checklist_V2.0-1.pdf,UBC_EWS_DES_Construction-Checklist_V2.0-1.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/UBC_EWS_Mech_Construction-Checklist_V1.4.pdf,UBC_EWS_Mech_Construction-Checklist_V1.4.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,http://www.universityendowmentlands.gov.bc.ca/library/UEL_Snow_Removal_Policy.pdf,UEL_Snow_Removal_Policy.pdf,Ice prevention and snow removal,https://facilities.ubc.ca/services/ice-prevention-and-snow-removal/,2026-01-27T19:27:20,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Util-Service-Activation-Request-DES.pdf,Util-Service-Activation-Request-DES.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Util-Service-Activation-Request-GAS.pdf,Util-Service-Activation-Request-GAS.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Util-Service-Activation-Request-WATER.pdf,Util-Service-Activation-Request-WATER.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/Utility-Services-Agreement.pdf,Utility-Services-Agreement.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
facilities,pdf,https://vpfo-facilities.sites.olt.ubc.ca/files/2025/02/procedure-gas-service-install.pdf,procedure-gas-service-install.pdf,For Contractors & Developers,https://facilities.ubc.ca/infrastructure-and-systems/for-contractors-developers/,2026-03-19T22:38:59,1
finance,pdf,https://share.ca/wp-content/uploads/2026/01/1.UBCIM-Social-Risks-Primer_FV_29-10-14_ONLINE_V02.pdf,1.UBCIM-Social-Risks-Primer_FV_29-10-14_ONLINE_V02.pdf,Update on UBC and UBCIM Responsible Investing Commitments,https://finance.ubc.ca/news/update-on-ubc-and-ubcim-responsible-investing-commitments/,2026-02-03T21:08:51,2
