eid,lid,location,building_code,campus,room,capacity,state,date,start,end,minutes,collected_at
20611,1788,Koerner Library,KLIB,vancouver,168,16,free,2026-08-14,2026-08-14 08:00:00,2026-08-14 17:45:00,585,2026-08-01T15:07:48Z
20611,1788,Koerner Library,KLIB,vancouver,168,16,unavailable,2026-08-14,2026-08-14 17:45:00,2026-08-14 18:00:00,15,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-01,2026-08-01 11:00:00,2026-08-01 18:00:00,420,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-04,2026-08-04 08:00:00,2026-08-04 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-05,2026-08-05 08:00:00,2026-08-05 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-06,2026-08-06 08:00:00,2026-08-06 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-07,2026-08-07 08:00:00,2026-08-07 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-08,2026-08-08 11:00:00,2026-08-08 18:00:00,420,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-10,2026-08-10 08:00:00,2026-08-10 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-11,2026-08-11 08:00:00,2026-08-11 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-12,2026-08-12 08:00:00,2026-08-12 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-13,2026-08-13 08:00:00,2026-08-13 18:00:00,600,2026-08-01T15:07:48Z
27632,1788,Koerner Library,KLIB,vancouver,113 - Staff Breakroom,30,free,2026-08-14,2026-08-14 08:00:00,2026-08-14 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-01,2026-08-01 11:00:00,2026-08-01 18:00:00,420,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-04,2026-08-04 08:00:00,2026-08-04 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-05,2026-08-05 08:00:00,2026-08-05 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-06,2026-08-06 08:00:00,2026-08-06 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-07,2026-08-07 08:00:00,2026-08-07 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-08,2026-08-08 11:00:00,2026-08-08 18:00:00,420,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-10,2026-08-10 08:00:00,2026-08-10 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-11,2026-08-11 08:00:00,2026-08-11 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-12,2026-08-12 08:00:00,2026-08-12 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-13,2026-08-13 08:00:00,2026-08-13 18:00:00,600,2026-08-01T15:07:48Z
33141,1788,Koerner Library,KLIB,vancouver,341 - Level 3 Fireplace Area,75,free,2026-08-14,2026-08-14 08:00:00,2026-08-14 18:00:00,600,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-01,2026-08-01 10:00:00,2026-08-01 16:45:00,405,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-01,2026-08-01 16:45:00,2026-08-01 17:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-04,2026-08-04 09:00:00,2026-08-04 20:45:00,705,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-04,2026-08-04 20:45:00,2026-08-04 21:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-05,2026-08-05 09:00:00,2026-08-05 20:45:00,705,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-05,2026-08-05 20:45:00,2026-08-05 21:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-06,2026-08-06 09:00:00,2026-08-06 16:45:00,465,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-06,2026-08-06 16:45:00,2026-08-06 17:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-07,2026-08-07 09:00:00,2026-08-07 13:15:00,255,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-07,2026-08-07 13:15:00,2026-08-07 13:30:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,booked,2026-08-07,2026-08-07 13:30:00,2026-08-07 15:30:00,120,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-07,2026-08-07 15:30:00,2026-08-07 16:45:00,75,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-07,2026-08-07 16:45:00,2026-08-07 17:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-08,2026-08-08 10:00:00,2026-08-08 16:45:00,405,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-08,2026-08-08 16:45:00,2026-08-08 17:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-10,2026-08-10 09:00:00,2026-08-10 16:45:00,465,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-10,2026-08-10 16:45:00,2026-08-10 17:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-11,2026-08-11 09:00:00,2026-08-11 20:45:00,705,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-11,2026-08-11 20:45:00,2026-08-11 21:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-12,2026-08-12 09:00:00,2026-08-12 20:45:00,705,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-12,2026-08-12 20:45:00,2026-08-12 21:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-13,2026-08-13 09:00:00,2026-08-13 16:45:00,465,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-13,2026-08-13 16:45:00,2026-08-13 17:00:00,15,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,free,2026-08-14,2026-08-14 09:00:00,2026-08-14 16:45:00,465,2026-08-01T15:07:48Z
12048,1789,Woodward Library,WLIB,vancouver,20B,6,unavailable,2026-08-14,2026-08-14 16:45:00,2026-08-14 17:00:00,15,2026-08-01T15:07:48Z
12049,1789,Woodward Library,WLIB,vancouver,20D,6,free,2026-08-01,2026-08-01 10:00:00,2026-08-01 16:45:00,405,2026-08-01T15:07:48Z
12049,1789,Woodward Library,WLIB,vancouver,20D,6,unavailable,2026-08-01,2026-08-01 16:45:00,2026-08-01 17:00:00,15,2026-08-01T15:07:48Z
12049,1789,Woodward Library,WLIB,vancouver,20D,6,free,2026-08-04,2026-08-04 09:00:00,2026-08-04 20:45:00,705,2026-08-01T15:07:48Z
12049,1789,Woodward Library,WLIB,vancouver,20D,6,unavailable,2026-08-04,2026-08-04 20:45:00,2026-08-04 21:00:00,15,2026-08-01T15:07:48Z
