eid,lid,location,campus,building_code,gid,grouping,title,capacity,url,thumbnail,filter_ids,booking_selectable_time,described_by
12463,1811,"Music, Art & Architecture Library (IKB)",vancouver,IBLC,3332,MAA Library -  DIY Media Studio,323 - DIY Media Studio,2,https://libcal.library.ubc.ca/space/12463,https://h5p.open.ubc.ca/wp-content/uploads/h5p/content/5773/images/image-6855c4b527a69.jpg,"[181, 408, 556]",False,spaces_page
12343,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,454,5,https://libcal.library.ubc.ca/space/12343,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 553, 555, 558]",False,spaces_page
12344,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,456,5,https://libcal.library.ubc.ca/space/12344,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 552, 553, 555, 558]",False,spaces_page
12346,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,496,4,https://libcal.library.ubc.ca/space/12346,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 553, 555, 558]",False,spaces_page
12347,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,499,5,https://libcal.library.ubc.ca/space/12347,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 552, 553, 555, 558]",False,spaces_page
12348,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,555,6,https://libcal.library.ubc.ca/space/12348,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 552, 553, 555, 558]",False,spaces_page
12349,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,553,4,https://libcal.library.ubc.ca/space/12349,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 552, 553, 555, 558]",False,spaces_page
12350,1821,Research Commons,vancouver,IBLC,,,440 - Study Table Seating Area,,https://libcal.library.ubc.ca/space/12350,,,,space_page
12352,1821,Research Commons,vancouver,IBLC,,,540 - Graduate Students Event Space,,https://libcal.library.ubc.ca/space/12352,,,,space_page
12356,1821,Research Commons,vancouver,IBLC,,Research Commons,497 - Digital Scholarship Lab,20,https://libcal.library.ubc.ca/space/12356,,,,space_page
12357,1821,Research Commons,vancouver,IBLC,,Research Commons,548 and 552 - Presentation Room,26,https://libcal.library.ubc.ca/space/12357,,,,space_page
12358,1821,Research Commons,vancouver,IBLC,,Back Half,548 - Presentation Room (Back Half),,https://libcal.library.ubc.ca/space/12358,,,,space_page
12359,1821,Research Commons,vancouver,IBLC,,Front Half,552 - Presentation Room (Front Half),,https://libcal.library.ubc.ca/space/12359,,,,space_page
24133,1821,Research Commons,vancouver,IBLC,,Research Commons,446 - Consultation Room,4,https://libcal.library.ubc.ca/space/24133,,,,space_page
24134,1821,Research Commons,vancouver,IBLC,,Research Commons,448 - Consultation Room,4,https://libcal.library.ubc.ca/space/24134,,,,space_page
24135,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,457,4,https://libcal.library.ubc.ca/space/24135,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 552, 553, 555, 558]",False,spaces_page
24136,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,458,4,https://libcal.library.ubc.ca/space/24136,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 552, 553, 555, 558]",False,spaces_page
24686,1821,Research Commons,vancouver,IBLC,3297,Research Commons Project Rooms,495,4,https://libcal.library.ubc.ca/space/24686,//libapps-ca.s3.amazonaws.com/customers/266/images/ProjectRoom456_1333x2000_LibCal.jpg,"[181, 409, 552, 553, 555, 558]",False,spaces_page
24898,1821,Research Commons,vancouver,IBLC,,Research Commons,491 - Hoteling Office,1,https://libcal.library.ubc.ca/space/24898,,,,space_page
12032,2174,Irving K. Barber Learning Centre,vancouver,IBLC,5158,IKBLC Group Study Rooms,263,8,https://libcal.library.ubc.ca/space/12032,https://libapps-ca.s3.amazonaws.com/customers/266/images/263covid19.jpg,"[181, 409, 553]",False,spaces_page
12033,2174,Irving K. Barber Learning Centre,vancouver,IBLC,5158,IKBLC Group Study Rooms,264,12,https://libcal.library.ubc.ca/space/12033,https://libapps-ca.s3.amazonaws.com/customers/266/images/264covid19.jpg,"[181, 409, 552, 553]",False,spaces_page
12034,2174,Irving K. Barber Learning Centre,vancouver,IBLC,5158,IKBLC Group Study Rooms,265,10,https://libcal.library.ubc.ca/space/12034,https://libapps-ca.s3.amazonaws.com/customers/266/images/265covid19.jpg,"[181, 409, 552, 553]",False,spaces_page
12035,2174,Irving K. Barber Learning Centre,vancouver,IBLC,5158,IKBLC Group Study Rooms,266,8,https://libcal.library.ubc.ca/space/12035,https://libapps-ca.s3.amazonaws.com/customers/266/images/266covid19.jpg,"[181, 409, 552, 553]",False,spaces_page
15709,2174,Irving K. Barber Learning Centre,vancouver,IBLC,,,404,,https://libcal.library.ubc.ca/space/15709,,,,space_page
18998,2174,Irving K. Barber Learning Centre,vancouver,IBLC,5158,IKBLC Group Study Rooms,192,8,https://libcal.library.ubc.ca/space/18998,https://libapps-ca.s3.amazonaws.com/customers/266/images/IKBLC_192_DSC05138.jpg,"[181, 409, 553]",False,spaces_page
18999,2174,Irving K. Barber Learning Centre,vancouver,IBLC,5158,IKBLC Group Study Rooms,193,8,https://libcal.library.ubc.ca/space/18999,//libapps-ca.s3.amazonaws.com/customers/266/images/IKBLC_193_DSC05164.jpg,"[181, 409, 553]",False,spaces_page
19000,2174,Irving K. Barber Learning Centre,vancouver,IBLC,5158,IKBLC Group Study Rooms,194,8,https://libcal.library.ubc.ca/space/19000,//libapps-ca.s3.amazonaws.com/customers/266/images/IKBLC_194_DSC05145.jpg,"[181, 409, 553]",False,spaces_page
