program_id,program,degrees,url,campus,area_key,area,matched_by,tuition_domestic,tuition_international,student_fees,lab_clinic_fees_domestic,lab_clinic_fees_international,books_supplies,educational_total_domestic,educational_total_international,custom_tuition_message
865,Microbiology and Immunology,"[""Bachelor of Science""]",https://you.ubc.ca/programs/microbiology-immunology/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
871,Midwifery,"[""Bachelor of Midwifery""]",https://you.ubc.ca/programs/midwifery/,vancouver,midwifery,Midwifery,exact:title,7234,61929,1325,0,0,2765,11324,66019,
875,Mining Engineering,"[""Bachelor of Applied Science (Engineering)""]",https://you.ubc.ca/programs/mining-engineering/,vancouver,applied_science,Applied Science (Engineering),exact:degree,7648,66200,1513.25,0,0,800,9961.25,68513.25,
877,Modern European Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/modern-european-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
883,Museum Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/museum-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
893,Music,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/music/,vancouver,music,Music,exact:title,7027,48780,1350,0,0,1760,10137,51890,
885,Music: Advanced Performance,"[""Bachelor of Music""]",https://you.ubc.ca/programs/music-advanced-performance/,vancouver,music,Music,exact:degree,7027,48780,1350,0,0,1760,10137,51890,
887,Music: Composition,"[""Bachelor of Music""]",https://you.ubc.ca/programs/music-composition/,vancouver,music,Music,exact:degree,7027,48780,1350,0,0,1760,10137,51890,
889,Music: General Studies,"[""Bachelor of Music""]",https://you.ubc.ca/programs/music-general-studies/,vancouver,music,Music,exact:degree,7027,48780,1350,0,0,1760,10137,51890,
891,Music: Scholarship,"[""Bachelor of Music""]",https://you.ubc.ca/programs/music-scholarship/,vancouver,music,Music,exact:degree,7027,48780,1350,0,0,1760,10137,51890,
568741,Neuroscience,"[""Bachelor of Science""]",https://you.ubc.ca/programs/neuroscience/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
913,Nursing,"[""Bachelor of Science in Nursing""]",https://you.ubc.ca/programs/nursing-vancouver/,vancouver,nursing,Nursing,exact:title,6201,,1447,0,,3875,11523,,
915,Nutritional Sciences,"[""Bachelor of Science in Food, Nutrition, and Health""]",https://you.ubc.ca/programs/nutritional-sciences/,vancouver,land_food_systems_food_nutrition_health,"Land and Food Systems: Food, Nutrition and Health",overlap:degree,6614,56621,1366,0,0,2000,9980,59987,
921,Oceanography,"[""Bachelor of Science""]",https://you.ubc.ca/programs/oceanography/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
561295,Pharmaceutical Sciences,"[""Bachelor of Pharmaceutical Sciences""]",https://you.ubc.ca/programs/pharmaceutical-sciences/,vancouver,pharmaceutical_sciences,Pharmaceutical Sciences,exact:title,6201,53082,1414,0,0,1600,9215,56096,
927,Pharmacology,"[""Bachelor of Science""]",https://you.ubc.ca/programs/pharmacology/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
929,Pharmacy,"[""Doctor of Pharmacy""]",https://you.ubc.ca/programs/pharmacy/,vancouver,pharmacy,"Pharmacy, Entry-to-Practice (PharmD)",exact:title,20735,,2656,0,,3200,26591,,
931,Philosophy,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/philosophy-vancouver/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
943,Physics,"[""Bachelor of Science""]",https://you.ubc.ca/programs/physics-vancouver/,vancouver,science,Science,exact:degree,6201,53082,1358,0,0,1540,9099,55980,
949,Political Science,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/political-science-vancouver/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
957,Psychology,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/psychology-vancouver-ba/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
967,Religion,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/religion/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
971,Romance Studies,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/romance-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
989,Social Work,"[""Bachelor of Social Work""]",https://you.ubc.ca/programs/social-work/,vancouver,social_work,Social Work,exact:title,6201,51530,1330,0,0,900,8431,53760,
993,Sociology,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/sociology-vancouver/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
997,Spanish,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/spanish-hispanic-studies/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
999,Speech Sciences,"[""Bachelor of Arts""]",https://you.ubc.ca/programs/speech-sciences/,vancouver,arts,Arts,exact:degree,6201,51530,1380,0,0,2200,9781,55110,
