campus,level,page,url,section,context,table_label,divider,item,student_type,cohort_year,cohort_rule,unit,amount,amount_text,column
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Arts,Master of Public Policy and Global Affairs,domestic,,,,3000,"$3,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Arts,Master of Public Policy and Global Affairs,international,,,,3000,"$3,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration,domestic,,,,5000,"$5,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration,international,,,,5000,"$5,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration,domestic,,,,2500,"$2,500.00",Deferral Deposit -Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration,international,,,,2500,"$2,500.00",Deferral Deposit - International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration and Master of Business Analytics Dual Degree Program Option,domestic,,,,5000,"$5,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration and Master of Business Analytics Dual Degree Program Option,international,,,,5000,"$5,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration and Master of Business Analytics Dual Degree Program Option,domestic,,,,2500,"$2,500.00",Deferral Deposit -Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Administration and Master of Business Analytics Dual Degree Program Option,international,,,,2500,"$2,500.00",Deferral Deposit - International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Professional Master of Business Administration,domestic,,,,5000,"$5,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Professional Master of Business Administration,international,,,,5000,"$5,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Professional Master of Business Administration,domestic,,,,2500,"$2,500.00",Deferral Deposit -Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Professional Master of Business Administration,international,,,,2500,"$2,500.00",Deferral Deposit - International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,International Master of Business Administration,domestic,,,,5000,"$5,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,International Master of Business Administration,international,,,,5000,"$5,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,International Master of Business Administration,domestic,,,,2500,"$2,500.00",Deferral Deposit -Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,International Master of Business Administration,international,,,,2500,"$2,500.00",Deferral Deposit - International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Dual Master of Business Administration and Juris Doctor*,domestic,,,,5000,"$5,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Dual Master of Business Administration and Juris Doctor*,international,,,,5000,"$5,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Dual Master of Business Administration and Juris Doctor*,domestic,,,,2500,"$2,500.00",Deferral Deposit -Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Dual Master of Business Administration and Juris Doctor*,international,,,,2500,"$2,500.00",Deferral Deposit - International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Analytics,domestic,,,,5000,"$5,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Analytics,international,,,,5000,"$5,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Analytics,domestic,,,,2500,"$2,500.00",Deferral Deposit -Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Business Analytics,international,,,,2500,"$2,500.00",Deferral Deposit - International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Management,domestic,,,,5000,"$5,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Management,international,,,,5000,"$5,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Management,domestic,,,,2500,"$2,500.00",Deferral Deposit -Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Commerce and Business Administration,Master of Management,international,,,,2500,"$2,500.00",Deferral Deposit - International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Education,Master of Kinesiology,domestic,,,,500,$500.00,2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Education,Master of Kinesiology,international,,,,500,$500.00,2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of Geomatics for Environmental Management,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of Geomatics for Environmental Management,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of International Forestry,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of International Forestry,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of Urban Forestry Leadership,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of Urban Forestry Leadership,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of Sustainable Forest Management,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Forestry and Environmental Stewardship,Master of Sustainable Forest Management,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Food Science,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Food Science,international,,,,3000,"$3,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Food and Resource Economics,domestic,,,,1500,"$1,500.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Food and Resource Economics,international,,,,1500,"$1,500.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Land and Water Systems,domestic,,,,1500,"$1,500.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Land and Water Systems,international,,,,3000,"$3,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Nutrition and Dietetics,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Land and Food Systems,Master of Nutrition and Dietetics,international,,,,2400,"$2,400.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Law,Master of Laws Common Law,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Law,Master of Laws Common Law,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Law,Master of Laws in Taxation,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Law,Master of Laws in Taxation,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Global Health (F/T and P/T),domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Global Health (F/T and P/T),international,,,,1500,"$1,500.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Global Surgical Care,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Global Surgical Care,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Health Administration,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Health Administration,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Occupational Therapy,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Occupational Therapy,international,,,,1000,"$1,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Physical Therapy,domestic,,,,1500,"$1,500.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Physical Therapy,international,,,,1500,"$1,500.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Public Health,domestic,,,,500,$500.00,2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Public Health,international,,,,500,$500.00,2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Combined Master of Public Health with Diploma in Dental Public Health,domestic,,,,250,$250.00,2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Combined Master of Public Health with Diploma in Dental Public Health,international,,,,250,$250.00,2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Combined Master of Public Health and Master of Science in Nursing,domestic,,,,250,$250.00,2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Combined Master of Public Health and Master of Science in Nursing,international,,,,250,$250.00,2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Science in Audiology and Speech Sciences,domestic,,,,1000,"$1,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Science in Population and Public Health,domestic,,,,500,$500.00,2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Master of Science in Population and Public Health,international,,,,500,$500.00,2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Doctor of Philosophy in Population and Public Health,domestic,,,,500,$500.00,2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Medicine,Doctor of Philosophy in Population and Public Health,international,,,,500,$500.00,2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Science,Master of Data Science**,domestic,,,,3000,"$3,000.00",2026-27 Domestic
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Other Students,[],,Science,Master of Data Science**,international,,,,3000,"$3,000.00",2026-27 International
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Undergraduate Formal Exchange Programs,[],,,U-Pass Fee,,,,per_term,191.4,$191.40 per term,Amount
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Undergraduate Formal Exchange Programs,[],,,iMED*,,,,per_term,204.3,"$204.30 per academic year, $295.10 per term, or $70.37 per month",Amount
vancouver,,Policies on Fees,https://vancouver.calendar.ubc.ca/fees/policies-fees,Undergraduate Formal Exchange Programs,[],,,,,,,per_month,204.3,"* Two-term exchange students will be assessed $204.30, and one-term exchange students will be assessed $295.10. Visiting international research students will be assessed a monthly rate of $70.37 up to 6 months (a fraction of a month will be considered a full month).",Student Fee
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Co-op course fee1,,,,,889,$889.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Co-op administration and workshop fee,,,,,288.25,$288.25,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Go Global application and administration fee (applies also to VIRS),,,,,440,$440.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Student Accident Insurance2,,,,,7,$7.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Student Health Immunization Review Fee,,,,,173.5,$173.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,"TB Screen Test Fee, TB screen within 6 months of starting a practicum in a health care setting",,,,,41.5,$41.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Visual Arts (VISA) studio fee3,,,,,37.5,$37.50 per course,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Haida Gwaii Program Fee Winter Term,,,,,4000,"$4,000.00",
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,,Haida Gwaii Program Fee Summer Term,,,,,3200,"$3,200.00",
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,APBI_V 443,,,,,84.45,$84.45,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,ANTH_V 480,,,,,312.12,$312.12,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,CHBE_V 362,,,,,208.08,$208.08,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,CHBE_V 365,,,,,208.08,$208.08,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,CHBE_V 366,,,,,208.08,$208.08,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,EOSC_V 223,,,,,243.66,$243.66,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,EOSC_V 328,,,,,975.19,$975.19,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,EOSC_V 473,,,,,511.95,$511.95,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,EOSC_V 573,,,,,511.95,$511.95,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,FRST_V 350,,,,,910.35,$910.35,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,ILS_V 100 (Indigenous View of Landscapes),,,,,800,$800.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,ILS_V 200 (Field Measurements),,,,,800,$800.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,ILS_V 300 (Interventions on the Land),,,,,800,$800.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,"NRES_V 100 (accommodation, instruction, administration, transportation, meals)",,,,,500,$500.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,SOCI_V 480,,,,,312.12,$312.12,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,UFOR_V 400,,,,,728.25,$728.25,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,"Full-time Master of Business Administration, Year 1",,,,,624.24,$624.24,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,Vantage One Arts,,,,,119.49,$119.49,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,Vantage One Science,,,,,119.49,$119.49,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,Vantage One Management,,,,,597.52,$597.52,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Field Trips,Vantage One Engineering,,,,,597.52,$597.52,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,BIOL_V 209,,,,,26,$26.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,BIOL_V 323,,,,,36,$36.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 111,,,,,67.5,$67.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 121,,,,,67.5,$67.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 123,,,,,13.5,$13.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 135,,,,,13.5,$13.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 203,,,,,46.5,$46.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 245,,,,,46.5,$46.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 211,,,,,29,$29.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 235,,,,,36,$36.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,CHEM_V 300,,,,,19.5,$19.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,COMM_V 202,,,,,20.5,$20.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,FNEL_V 101,,,,,72.5,$72.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,FNEL_V 102,,,,,41.5,$41.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,FNEL_V 201,,,,,41.5,$41.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,FNEL_V 202,,,,,41.5,$41.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,FNH_V 330,,,,,52,$52.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,FNH_V 335,,,,,52,$52.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Program and Course Fees,"[""Programs/Courses Amount""]",Programs/Courses,Course Material Fee,MUSC_V 119,,,,,22.5,$22.50,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,,"Bachelor of Social Work Criminal Record Check (vulnerable sector check, done for students prior to practicum with Children or vulnerable adults)",,,,,29,$29.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,,Graduate Certificate in Migration Studies,,,,,78,$78.00,
vancouver,,"Program, Course, and Faculty Fees",https://vancouver.calendar.ubc.ca/fees/program-course-and-faculty-fees,Faculty Fees,"[""Arts""]",Arts,,Master of Arts in Children's Literature Program Fee,,,,,112,$112.00,
