ADD_UID,SITE_NAME,LOCALITY,POSTAL_CODE,PROVINCE_CODE,BLDG_UID,ADDRESS_DESCRIPTOR,MAIL_PROVIDER,FULL_ADDRESS,LAT,LONG
VAD10026,Logan Lane (A9),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2561 East Mall,49.25873,-123.245146
VAD10028,Logan Lane (E4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6278 Logan Lane,49.259002,-123.246518
VAD10792,Westchester (C1),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2578 West Mall,49.257294,-123.249378
VAD10182,Nine on the Park (4),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6292 Eagles Drive,49.259315,-123.247162
VAD10150,Logan Lane (E6),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6282 Logan Lane,49.258972,-123.246602
VAD10187,Nine on the Park (3),Vancouver,V6T 0A3,BC,VBL10158,Residential,CanadaPost,6294 Eagles Drive,49.259356,-123.247195
VAD10031,Logan Lane (D1),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6258 Logan Lane,49.258573,-123.245628
VAD10154,Logan Lane (D4),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6254 Logan Lane,49.258657,-123.245693
VAD10404,Sail - Building 1,Vancouver,V6S 0G8,BC,VBL10172,NeighbourhoodBldg,CanadaPost,5983 Gray Avenue,49.252382,-123.234866
VAD10904,Chancellor Hall -  Apartment,Vancouver,V6T 2L7,BC,VBL10290,NeighbourhoodBldg,CanadaPost,5989 Iona Drive,49.271662,-123.250297
VAD10001,Hawthorn Green (A1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6358 Hawthorn Lane,49.258138,-123.248877
VAD11025,Logan Lane (B4),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2555 East Mall,49.258926,-123.2453
VAD10405,Sitka,Vancouver,V6T 0B5,BC,VBL10112,NeighbourhoodBldg,CanadaPost,5868 Agronomy Road,49.263016,-123.2419
VAD10388,Promontory,Vancouver,V6T 2J8,BC,VBL10149,NeighbourhoodBldg,CanadaPost,2688 West Mall,49.255898,-123.247881
VAD10487,Yu,Vancouver,V6S 0C5,BC,VBL10167,NeighbourhoodBldg,CanadaPost,5955 Birney Avenue,49.253505,-123.235833
VAD10205,Larkspur House,Vancouver,V6S 0G9,BC,VBL10018,NeighbourhoodBldg,CanadaPost,3428 Wesbrook Mall,49.253493,-123.234235
